,correlation,p_value,significant
xAG,0.48995029834473164,1.4081666234322232e-142,True
xG,0.45813080565718856,1.2170496297913985e-122,True
Minutes_x_Goals_per_90,0.4567975196557794,7.507284992053098e-122,True
Gls,0.4567667767363852,7.828189913273594e-122,True
Ast,0.43856799754872233,2.155471002904431e-111,True
Age_x_Goals,0.40704656644794335,9.33895746467853e-95,True
Starts,0.34595013304993183,3.082773079934163e-67,True
Min,0.34538820670400205,5.1911511263130486e-67,True
90s,0.345388206704002,5.191151126314075e-67,True
MP,0.32863306329726977,1.788430592644205e-60,True
Goal_Contributions_per_90,0.3257650107873154,2.143441170185165e-59,True
Goals_per_90,0.2904876846798895,4.664405892925338e-47,True
xAG_per_90,0.27450719503670085,5.142182223217023e-42,True
Assists_per_90,0.26676771564006496,1.084060273947279e-39,True
xG_per_90,0.2475924253336734,2.941830108442646e-34,True
Shots_per_90,0.2389876347863447,5.749563823169686e-32,True
Age_Squared,-0.18693743852823785,5.61035576108102e-20,True
Age,-0.17100734001164156,6.300137480676767e-17,True
Shot_Accuracy,0.1673299184534336,2.907652951774649e-16,True
Pass_Completion_Rate,0.14740593505650793,6.388380233388195e-13,True
Interceptions_per_90,-0.03868595472792261,0.06039910132740241,False
Tackles_per_90,-0.03292993145765377,0.10997649587018293,False
