Player,Squad,Comp,Position_Primary,Age_Group,Age,Min,MP,Starts,Gls,Ast,xG,xAG,90s,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shot_Accuracy,Pass_Completion_Rate,Tackles_per_90,Interceptions_per_90,Age_Squared,Age_x_Goals,Minutes_x_Goals_per_90,market_value_in_eur,Log_Market_Value,Value_per_Goal,League_de Bundesliga,League_eng Premier League,League_es La Liga,League_fr Ligue 1,League_it Serie A,Position_DF,Position_FW,Position_GK,Position_MF
Max Aarons,Bournemouth,eng Premier League,DF,Prime,24.0,86,3,1,0,0,0.0,0.0,0.9555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7935248373274084,2.0713463751438432,1.0356731875719216,576.0,0.0,0.0,12000000,16.300417291085605,12000000.0,False,True,False,False,False,True,False,False,False
Max Aarons,Valencia,es La Liga,DF,Prime,24.0,120,4,1,0,0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7120133313134372,2.977667493796526,0.0,576.0,0.0,0.0,12000000,16.300417291085605,12000000.0,False,False,True,False,False,True,False,False,False
James Abankwah,Udinese,it Serie A,DF,Young,20.0,88,6,0,0,0,0.1,0.0,0.9777777777777777,0.0,0.0,0.0,0.10123734533183353,0.0,1.0123734533183353,0.0,0.7824386003042817,4.049493813273341,1.0123734533183353,400.0,0.0,0.0,300000,12.611541086966115,300000.0,False,False,False,False,True,True,False,False,False
Yunis Abdelhamid,Saint-Étienne,fr Ligue 1,DF,Veteran,36.0,1033,16,11,0,0,0.2,0.1,11.477777777777778,0.0,0.0,0.0,0.017409807524905698,0.008704903762452849,0.17409807524905696,0.49751243781094534,0.8673095582265697,1.4798336396169842,1.2186865267433988,1296.0,0.0,0.0,500000,13.122365377402328,500000.0,False,False,False,True,False,True,False,False,False
Himad Abdelli,Angers,fr Ligue 1,MF,Prime,24.0,2842,32,32,6,1,6.4,3.2,31.57777777777778,0.18994688522283582,0.03165781420380597,0.2216046994266418,0.2026100109043582,0.1013050054521791,1.108023497133209,0.22850614110254214,0.821167337515924,1.5195750817826865,0.8231031692989552,576.0,144.0,539.8290478032994,7000000,15.76142084987672,1000000.0,False,False,False,True,False,False,False,False,True
Ali Abdi,Nice,fr Ligue 1,DF,Veteran,30.0,1393,25,17,5,2,4.3,1.9,15.477777777777778,0.32283521056029846,0.12913408422411937,0.45196929478441783,0.2776382810818567,0.12267738001291341,1.872444221249731,0.37917959324370903,0.7404020589666819,2.7763828108185664,1.2913408422411938,900.0,150.0,449.70944831049576,3000000,14.914123179965662,500000.0,False,False,False,True,False,True,False,False,False
Saud Abdulhamid,Roma,it Serie A,DF,Prime,25.0,205,4,2,0,1,0.0,0.2,2.2777777777777777,0.0,0.43710539096648865,0.43710539096648865,0.0,0.08742107819329774,0.43710539096648865,0.0,0.8675832659363283,1.311316172899466,0.8742107819329773,625.0,0.0,0.0,4000000,15.201805169084134,4000000.0,False,False,False,False,True,True,False,False,False
Nabil Aberdin,Getafe,es La Liga,MF,Young,21.0,263,7,4,0,0,0.0,0.0,2.922222222222222,0.0,0.0,0.0,0.0,0.0,0.6820765441455098,0.0,0.5900672020980168,2.0462296324365292,0.0,441.0,0.0,0.0,100000,11.51293546492023,100000.0,False,False,True,False,False,False,False,False,True
Oliver Abildgaard,Como,it Serie A,MF,Prime,28.0,7,1,0,0,0,0.0,0.0,0.07777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900990099009901,0.0,0.0,784.0,0.0,0.0,3500000,15.068273812173887,3500000.0,False,False,False,False,True,False,False,False,True
Matthis Abline,Nantes,fr Ligue 1,FW,Young,21.0,2768,34,33,9,2,8.5,3.8,30.755555555555556,0.2925349416735888,0.06500776481635306,0.35754270648994185,0.2762830004695005,0.12351475315107081,2.372783415796887,0.3561156006026571,0.6524042304046394,0.35754270648994185,0.13001552963270613,441.0,189.0,809.7367185524938,12000000,16.300417291085605,1200000.0,False,False,False,True,False,False,True,False,False
Abner,Lyon,fr Ligue 1,DF,Prime,24.0,1090,19,12,1,1,0.6,1.1,12.11111111111111,0.08250068750572921,0.08250068750572921,0.16500137501145842,0.04950041250343753,0.09075075625630215,0.5775048125401046,0.42796005706134094,0.8414690152738478,2.3925199376661475,0.4125034375286461,576.0,24.0,89.92574938124484,9000000,16.012735246411598,4500000.0,False,False,False,True,False,True,False,False,False
Zakaria Aboukhlal,Toulouse,fr Ligue 1,MF,Prime,24.0,1901,26,22,7,2,10.2,1.6,21.122222222222224,0.3312476996687523,0.09464219990535779,0.42588989957411005,0.48267521951732467,0.07571375992428624,2.933908197066091,0.41928721174004197,0.6332196785192401,1.0410641989589358,0.28392659971607337,576.0,168.0,629.7018770702981,12000000,16.300417291085605,1500000.0,False,False,False,True,False,False,False,False,True
Abdel Abqar,Alavés,es La Liga,DF,Prime,25.0,2463,29,29,0,1,0.9,0.3,27.366666666666667,0.0,0.0365274564714477,0.0365274564714477,0.03287471082430293,0.01095823694143431,0.4383294776573724,0.08326394671107411,0.7657000457929095,1.3149884329721173,1.4245708023864603,625.0,0.0,0.0,7500000,15.830413711839864,7500000.0,False,False,True,False,False,True,False,False,False
Tammy Abraham,Roma,it Serie A,FW,Prime,26.0,1,1,0,0,0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33222591362126247,0.0,0.0,676.0,0.0,0.0,15000000,16.52356082573315,15000000.0,False,False,False,False,True,False,True,False,False
