Feature,Coefficient,Abs_Coefficient
Age_Squared,-9760384.39940473,9760384.39940473
Age,6403055.355512031,6403055.355512031
Min,5698656.402775818,5698656.402775818
xAG,4964645.112836229,4964645.112836229
MP,-4285206.275650241,4285206.275650241
Goal_Contributions_per_90,-4026891.851768359,4026891.851768359
Pass_Completion_Rate,3493053.909099589,3493053.909099589
Goals_per_90,2976621.908977798,2976621.908977798
xG,2902309.3232214036,2902309.3232214036
Gls,2196006.271917087,2196006.271917087
Assists_per_90,2117125.2820116384,2117125.2820116384
Shots_per_90,1514038.5196106592,1514038.5196106592
Ast,-611838.9458818169,611838.9458818169
Shot_Accuracy,-467144.46292868064,467144.46292868064
Interceptions_per_90,-361522.55380417255,361522.55380417255
Tackles_per_90,117407.03576267065,117407.03576267065
xAG_per_90,79318.2437875867,79318.2437875867
xG_per_90,-57501.587822345005,57501.587822345005
