Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Lamine Yamal,Barcelona,es La Liga,FW,17.0,9,13,180000000,70566662.31096259,-109433337.68903741,180.0,70.56666231096258,-109.43333768903742
Federico Valverde,Real Madrid,es La Liga,MF,26.0,6,4,130000000,28606646.48000315,-101393353.51999685,130.0,28.60664648000315,-101.39335351999685
Rodrygo,Real Madrid,es La Liga,FW,23.0,6,5,100000000,27869322.771022208,-72130677.2289778,100.0,27.86932277102221,-72.1306772289778
Alessandro Bastoni,Inter,it Serie A,DF,25.0,1,5,80000000,17843965.827281967,-62156034.17271803,80.0,17.843965827281966,-62.15603417271803
Cole Palmer,Chelsea,eng Premier League,MF,22.0,15,8,130000000,73482973.24628851,-56517026.75371149,130.0,73.48297324628851,-56.51702675371149
Gabriel Magalhães,Arsenal,eng Premier League,DF,26.0,3,1,75000000,19605233.55125847,-55394766.448741525,75.0,19.605233551258472,-55.39476644874153
Khvicha Kvaratskhelia,Napoli,it Serie A,FW,23.0,5,3,80000000,29673754.268584497,-50326245.7314155,80.0,29.673754268584496,-50.326245731415504
Khvicha Kvaratskhelia,Paris S-G,fr Ligue 1,FW,23.0,4,3,80000000,29673754.268584497,-50326245.7314155,80.0,29.673754268584496,-50.326245731415504
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,25.0,3,6,75000000,31859371.64307473,-43140628.35692527,75.0,31.859371643074727,-43.14062835692527
Cristian Romero,Tottenham,eng Premier League,DF,26.0,1,0,55000000,13924890.549940454,-41075109.45005955,55.0,13.924890549940454,-41.07510945005955
Warren Zaïre-Emery,Paris S-G,fr Ligue 1,MF,18.0,1,2,60000000,19890427.38200733,-40109572.61799267,60.0,19.89042738200733,-40.10957261799267
Castello Lukeba,RB Leipzig,de Bundesliga,DF,21.0,0,0,50000000,10960585.551397637,-39039414.44860236,50.0,10.960585551397637,-39.039414448602365
Ben White,Arsenal,eng Premier League,DF,26.0,0,2,50000000,11914283.587234829,-38085716.412765175,50.0,11.914283587234829,-38.08571641276517
Kai Havertz,Arsenal,eng Premier League,FW,25.0,9,3,70000000,32980160.420117486,-37019839.57988252,70.0,32.980160420117485,-37.019839579882515
João Neves,Paris S-G,fr Ligue 1,MF,19.0,3,8,65000000,28321640.2165491,-36678359.7834509,65.0,28.3216402165491,-36.6783597834509
Marcus Rashford,Manchester Utd,eng Premier League,FW,26.0,4,1,50000000,15341309.2272177,-34658690.772782296,50.0,15.3413092272177,-34.65869077278229
Marcus Rashford,Aston Villa,eng Premier League,FW,26.0,2,2,50000000,15341309.2272177,-34658690.772782296,50.0,15.3413092272177,-34.65869077278229
Reiss Nelson,Fulham,eng Premier League,FW,24.0,1,1,18000000,-16279471.125903174,-34279471.125903174,18.0,-16.279471125903175,-34.27947112590317
Reiss Nelson,Arsenal,eng Premier League,FW,24.0,0,0,18000000,-16279471.125903174,-34279471.125903174,18.0,-16.279471125903175,-34.27947112590317
Dayot Upamecano,Bayern Munich,de Bundesliga,DF,25.0,2,0,50000000,16522336.745192545,-33477663.254807457,50.0,16.522336745192543,-33.47766325480746
