Player,Squad,Comp,Position_Primary,Age,Gls,Ast,Actual_Value,Predicted_Value,Value_Difference,Actual_Value_M,Predicted_Value_M,Difference_M
Sávio,Manchester City,eng Premier League,FW,20.0,1,8,200000,36152708.31691376,35952708.31691376,0.2,36.15270831691376,35.952708316913764
Gaëtan Perrin,Auxerre,fr Ligue 1,MF,28.0,10,11,6000000,39483360.32832317,33483360.32832317,6.0,39.48336032832317,33.48336032832317
Ludovic Ajorque,Brest,fr Ligue 1,FW,30.0,13,2,4000000,31169333.931364574,27169333.931364574,4.0,31.169333931364573,27.169333931364573
Emanuel Emegha,Strasbourg,fr Ligue 1,FW,21.0,14,3,20000000,46674353.82751551,26674353.827515513,20.0,46.67435382751551,26.674353827515514
Alexandre Lacazette,Lyon,fr Ligue 1,FW,33.0,15,2,8000000,34498536.35541473,26498536.355414733,8.0,34.498536355414736,26.498536355414732
Gaëtan Laborde,Nice,fr Ligue 1,FW,30.0,11,4,6000000,31926125.268495243,25926125.268495243,6.0,31.926125268495245,25.926125268495245
Marvin Pieringer,Heidenheim,de Bundesliga,FW,24.0,7,4,5500000,31191140.66560612,25691140.66560612,5.5,31.19114066560612,25.69114066560612
Raúl Moro,Valladolid,es La Liga,MF,21.0,4,5,5000000,29448912.026568323,24448912.026568323,5.0,29.448912026568323,24.448912026568323
Chris Wood,Nott'ham Forest,eng Premier League,FW,32.0,20,3,10000000,34257893.283700764,24257893.283700764,10.0,34.25789328370077,24.257893283700763
Raúl Jiménez,Fulham,eng Premier League,FW,33.0,12,3,5000000,29107122.65837038,24107122.65837038,5.0,29.10712265837038,24.10712265837038
Paulo Dybala,Roma,it Serie A,FW,30.0,6,3,8000000,30223430.90270833,22223430.90270833,8.0,30.22343090270833,22.22343090270833
Romano Schmid,Werder Bremen,de Bundesliga,MF,24.0,5,4,15000000,36563735.99365439,21563735.993654393,15.0,36.56373599365439,21.563735993654394
Corentin Tolisso,Lyon,fr Ligue 1,MF,29.0,7,4,10000000,31546170.097109165,21546170.097109165,10.0,31.546170097109165,21.546170097109165
Abdoulaye Touré,Le Havre,fr Ligue 1,MF,30.0,10,1,3000000,23975575.956579767,20975575.956579767,3.0,23.975575956579767,20.975575956579767
Takumi Minamino,Monaco,fr Ligue 1,MF,29.0,6,3,15000000,35915894.05094168,20915894.050941683,15.0,35.91589405094168,20.915894050941684
Jonathan Clauss,Nice,fr Ligue 1,DF,31.0,3,8,6000000,26816362.30225151,20816362.30225151,6.0,26.81636230225151,20.81636230225151
Junya Ito,Reims,fr Ligue 1,FW,31.0,4,3,8000000,28609699.339693747,20609699.339693747,8.0,28.609699339693748,20.609699339693748
Iago Aspas,Celta Vigo,es La Liga,FW,36.0,10,5,2500000,22051903.64485229,19551903.64485229,2.5,22.051903644852292,19.551903644852292
